OEM_Make,OEM_Model,OEM_VehicleGroup,OEM_GrossVehicleMass_t,Engine_RatedPower_kw,Engine_Displacement_ltr,RDL_TotalVehicleMass_kg,RDL_FuelConsumption_l100km,RDR_TotalVehicleMass_kg,RDR_FuelConsumption_l100km,LHL_TotalVehicleMass_kg,LHL_FuelConsumption_l100km,LHR_TotalVehicleMass_kg,LHR_FuelConsumption_l100km
MAN,TGX 18.470 4X2 BLS,5,20.5,346,12.4,17651.0,24.8,27951.0,30.7,17651.0,23.7,34351.0,30.8
MAN,TGX 18.510 4X2 BLS,5,20.5,375,12.4,17698.0,24.9,27998.0,31.1,17698.0,23.9,34398.0,31.3
MAN,TGX 18.510 4X2 BLS,5,20.5,375,12.4,17961.0,25.2,28261.0,31.8,17961.0,24.2,34661.0,32.1
MAN,TGX 18.510 4X2 BLS,5,20.5,375,12.4,17721.0,24.9,28021.0,31.1,17721.0,23.9,34421.0,31.4
MAN,TGX 18.510 4X2 BLS,5,20.5,375,12.4,17911.0,25.0,28211.0,31.3,17911.0,24.0,34611.0,31.4
MAN,TGX 18.510 4X2 BLS,5,20.5,375,12.4,17756.0,24.9,28056.0,31.0,17756.0,23.9,34456.0,31.2
Scania,R 580 A4x2NB,5,19.5,427,16.4,18312.0,26.1,28612.0,32.5,18312.0,24.6,35012.0,32.4
MAN,TGX 18.510 4X2 BLS,5,20.5,375,12.4,18111.0,25.4,28411.0,31.6,18111.0,24.3,34811.0,31.8
Scania,R 520 A4x2NA,5,19.0,382,16.4,18180.0,25.1,28480.0,31.1,18180.0,23.7,34880.0,30.7
Scania,R 450 A4x2NB,5,19.0,331,12.7,17796.0,24.1,28096.0,30.5,17796.0,22.7,34496.0,30.2
Scania,R 450 A4x2NB,5,19.0,331,12.7,17796.0,24.1,28096.0,30.5,17796.0,22.7,34496.0,30.2
Scania,R 520 A4x2NA,5,19.0,382,16.4,18260.0,25.3,28560.0,31.2,18260.0,23.9,34960.0,30.9
Scania,R 520 A4x2NA,5,19.0,382,16.4,18180.0,25.1,28480.0,31.1,18180.0,23.7,34880.0,30.7
Scania,R 650 A4x2NB,5,19.0,478,16.4,18172.0,25.9,28472.0,32.5,18172.0,24.3,34872.0,32.4
Scania,S 650 A4x2NB,5,19.5,478,16.4,18643.0,26.1,28943.0,32.7,18643.0,24.3,35343.0,32.2
Scania,S 520 A4x2NB,5,19.5,382,16.4,18481.0,25.5,28781.0,31.7,18481.0,24.0,35181.0,31.4
Scania,S 520 A4x2NB,5,19.5,382,16.4,18481.0,25.5,28781.0,31.7,18481.0,24.0,35181.0,31.4
Scania,R 450 A4x2NB,5,19.0,331,12.7,17796.0,24.1,28096.0,30.5,17796.0,22.7,34496.0,30.2
Scania,R 450 A4x2NB,5,19.0,331,12.7,17796.0,24.1,28096.0,30.5,17796.0,22.7,34496.0,30.2
Scania,R 580 A4x2NB,5,21.0,427,16.4,18327.0,26.4,28627.0,33.1,18327.0,24.7,35027.0,32.9
Scania,R 520 A4x2NB,5,19.0,382,16.4,18150.0,25.1,28450.0,31.2,18150.0,23.6,34850.0,30.8
Scania,R 580 A4x2NA,5,19.0,427,16.4,17980.0,26.0,28280.0,32.6,17980.0,24.5,34680.0,32.4
Scania,R 520 A4x2NA,5,19.0,382,16.4,18336.0,25.3,28636.0,31.3,18336.0,23.8,35036.0,30.9
MAN,TGX 18.510 4X2 BLS,5,20.5,375,12.4,17758.0,25.0,28058.0,31.2,17758.0,24.0,34458.0,31.6
Scania,S 650 A4x2NB,5,19.5,478,16.4,18643.0,26.1,28943.0,32.7,18643.0,24.3,35343.0,32.2
Scania,S 650 A4x2NB,5,19.5,478,16.4,18643.0,26.1,28943.0,32.7,18643.0,24.3,35343.0,32.2
MAN,TGX 18.510 4X2 BLS,5,20.5,375,12.4,17671.0,24.8,27971.0,31.1,17671.0,23.8,34371.0,31.2
MAN,TGX 18.510 4X2 BLS,5,20.5,375,12.4,17766.0,24.9,28066.0,31.0,17766.0,23.9,34466.0,31.2
MAN,TGX 18.510 4X2 BLS,5,20.5,375,12.4,17776.0,24.9,28076.0,31.1,17776.0,23.9,34476.0,31.2
Scania,S 650 A4x2NA,5,19.5,478,16.4,18514.0,26.3,28814.0,32.8,18514.0,24.8,35214.0,32.7
Scania,S 580 A4x2NB,5,19.5,427,16.4,18402.0,25.5,28702.0,31.9,18402.0,23.9,35102.0,31.5
Scania,S 520 A4x2LB,5,19.5,382,16.4,18666.0,25.2,28966.0,31.1,18666.0,23.6,35366.0,30.7
Scania,S 580 A4x2NB,5,19.5,427,16.4,18539.0,26.7,28839.0,33.2,18539.0,25.1,35239.0,33.0
Scania,S 650 A4x2NA,5,19.5,478,16.4,18245.0,25.8,28545.0,32.4,18245.0,24.3,34945.0,32.3
Scania,S 650 A4x2NB,5,21.0,478,16.4,18397.0,26.5,28697.0,33.3,18397.0,24.8,35097.0,33.1
Scania,R 580 A4x2NB,5,19.5,427,16.4,18410.0,26.2,28710.0,32.6,18410.0,24.7,35110.0,32.3
Scania,R 450 A4x2EB,5,19.0,331,12.7,18022.0,24.7,28322.0,31.1,18022.0,23.5,34722.0,31.0
Scania,S 520 A4x2NA,5,19.0,382,16.4,18583.0,25.5,28883.0,31.7,18583.0,24.0,35283.0,31.3
Scania,S 450 A4x2NA,5,19.0,331,12.7,17715.0,23.7,28015.0,29.8,17715.0,22.4,34415.0,29.7
Scania,S 450 A4x2NA,5,19.0,331,12.7,17962.0,23.6,28262.0,29.8,17962.0,22.2,34662.0,29.5
Scania,S 450 A4x2NA,5,19.0,331,12.7,18100.0,24.2,28400.0,30.6,18100.0,22.8,34800.0,30.4
Scania,S 500 A4x2NB,5,19.0,368,12.7,18240.0,24.3,28540.0,30.8,18240.0,22.9,34940.0,30.6
Scania,S 650 A4x2NB,5,19.5,478,16.4,18192.0,25.9,28492.0,32.5,18192.0,24.4,34892.0,32.3
Scania,S 580 A4x2NB,5,19.5,427,16.4,18346.0,26.3,28646.0,33.0,18346.0,24.6,35046.0,32.7
Scania,S 500 A4x2NA,5,19.0,368,12.7,18143.0,24.2,28443.0,30.5,18143.0,22.8,34843.0,30.2
Scania,S 500 A4x2NB,5,20.5,368,12.7,17915.0,24.3,28215.0,30.8,17915.0,22.9,34615.0,30.7
Scania,S 500 A4x2NB,5,20.5,368,12.7,17915.0,24.3,28215.0,30.8,17915.0,22.9,34615.0,30.7
Scania,S 500 A4x2NB,5,20.5,368,12.7,17915.0,24.3,28215.0,30.8,17915.0,22.9,34615.0,30.7
Scania,S 500 A4x2NB,5,19.5,368,12.7,17976.0,23.9,28276.0,30.3,17976.0,22.5,34676.0,30.1
Scania,S 500 A4x2LB,5,19.0,368,12.7,18054.0,24.6,28354.0,31.3,18054.0,23.2,34754.0,31.2
Scania,S 450 A4x2NB,5,19.0,331,12.7,17846.0,23.9,28146.0,30.3,17846.0,22.6,34546.0,30.2
Scania,S 520 A4x2NA,5,19.0,382,16.4,18358.0,25.6,28658.0,31.7,18358.0,24.0,35058.0,31.3
Scania,S 500 A4x2NB,5,19.0,368,12.7,17909.0,23.7,28209.0,30.1,17909.0,22.3,34609.0,29.8
Scania,S 500 A4x2NB,5,19.5,368,12.7,17971.0,24.1,28271.0,30.6,17971.0,22.6,34671.0,30.2
Scania,S 500 A4x2NB,5,19.0,368,12.7,18033.0,24.3,28333.0,30.9,18033.0,23.0,34733.0,30.8
Scania,S 580 A4x2NB,5,19.5,427,16.4,18402.0,25.5,28702.0,31.9,18402.0,23.9,35102.0,31.5
Scania,S 450 A4x2NA,5,19.0,331,12.7,17742.0,23.6,28042.0,29.7,17742.0,22.3,34442.0,29.5
Scania,S 450 A4x2NA,5,19.0,331,12.7,17742.0,23.6,28042.0,29.7,17742.0,22.3,34442.0,29.5
Scania,S 580 A4x2NB,5,19.5,427,16.4,18603.0,26.2,28903.0,32.9,18603.0,24.6,35303.0,32.6
Scania,S 650 A4x2NB,5,19.5,478,16.4,18608.0,25.2,28908.0,31.4,18608.0,23.5,35308.0,30.9
Scania,S 500 A4x2NA,5,19.0,368,12.7,18145.0,24.2,28445.0,30.6,18145.0,22.8,34845.0,30.4
Scania,S 500 A4x2NA,5,19.0,368,12.7,17761.0,23.8,28061.0,30.2,17761.0,22.4,34461.0,30.0
Scania,S 580 A4x2NB,5,19.5,427,16.4,18402.0,25.5,28702.0,31.9,18402.0,23.9,35102.0,31.5
Scania,S 650 A4x2NB,5,19.5,478,16.4,18756.0,25.9,29056.0,32.3,18756.0,24.2,35456.0,31.9
Scania,S 500 A4x2NA,5,19.0,368,12.7,17761.0,23.8,28061.0,30.2,17761.0,22.4,34461.0,30.0
Scania,S 520 A4x2NB,5,19.5,382,16.4,18500.0,25.4,28800.0,31.4,18500.0,23.8,35200.0,31.0
Scania,S 520 A4x2EB,5,19.5,382,16.4,18241.0,25.5,28541.0,31.9,18241.0,24.0,34941.0,31.6
Scania,S 580 A4x2NB,5,19.5,427,16.4,18784.0,26.1,29084.0,32.8,18784.0,24.4,35484.0,32.4
Scania,S 500 A4x2NA,5,19.0,368,12.7,17774.0,23.1,28074.0,29.3,17774.0,21.8,34474.0,28.9
Scania,S 500 A4x2NA,5,19.0,368,12.7,17774.0,23.1,28074.0,29.3,17774.0,21.8,34474.0,28.9
Scania,S 500 A4x2NA,5,19.0,368,12.7,17774.0,23.1,28074.0,29.3,17774.0,21.8,34474.0,28.9
Scania,S 500 A4x2NA,5,19.0,368,12.7,18193.0,24.2,28493.0,30.7,18193.0,22.9,34893.0,30.4
Scania,S 500 A4x2NA,5,19.0,368,12.7,17774.0,23.1,28074.0,29.3,17774.0,21.8,34474.0,28.9
Scania,S 500 A4x2NA,5,19.0,368,12.7,18189.0,23.8,28489.0,30.2,18189.0,22.4,34889.0,29.9
Scania,S 580 A4x2NB,5,19.5,427,16.4,18175.0,26.0,28475.0,32.6,18175.0,24.4,34875.0,32.4
Scania,S 520 A4x2NB,5,21.0,382,16.4,18294.0,25.5,28594.0,31.6,18294.0,23.9,34994.0,31.3
Scania,S 500 A4x2NA,5,19.0,368,12.7,17770.0,24.7,28070.0,31.4,17770.0,23.4,34470.0,31.4
Scania,S 650 A4x2NA,5,19.5,478,16.4,18205.0,26.2,28505.0,32.9,18205.0,24.6,34905.0,32.7
Scania,S 450 A4x2LA,5,19.0,331,12.7,18016.0,23.5,28316.0,29.7,18016.0,22.1,34716.0,29.4
Scania,S 450 A4x2NA,5,19.0,331,12.7,17721.0,23.7,28021.0,29.9,17721.0,22.4,34421.0,29.7
Scania,S 500 A4x2NB,5,19.0,368,12.7,18238.0,24.2,28538.0,30.6,18238.0,22.8,34938.0,30.4
Scania,S 450 A4x2LA,5,19.0,331,12.7,18016.0,23.5,28316.0,29.7,18016.0,22.1,34716.0,29.4
Scania,S 450 A4x2EB,5,19.0,331,12.7,18100.0,23.7,28400.0,29.9,18100.0,22.4,34800.0,29.8
Scania,S 450 A4x2NA,5,19.0,331,12.7,18189.0,23.5,28489.0,29.7,18189.0,22.2,34889.0,29.5
Scania,S 450 A4x2NA,5,19.0,331,12.7,17721.0,23.7,28021.0,29.9,17721.0,22.4,34421.0,29.7
Scania,S 650 A4x2LB,5,19.5,478,16.4,18527.0,25.3,28827.0,31.9,18527.0,23.6,35227.0,31.4
Scania,S 580 A4x2NB,5,19.5,427,16.4,18449.0,25.7,28749.0,32.2,18449.0,24.1,35149.0,31.8
Scania,S 450 A4x2LA,5,19.0,331,12.7,18016.0,23.5,28316.0,29.7,18016.0,22.1,34716.0,29.4
Scania,S 500 A4x2NA,5,19.0,368,12.7,18137.0,24.3,28437.0,30.9,18137.0,22.9,34837.0,30.8
Scania,S 580 A4x2EB,5,19.5,427,16.4,18336.0,26.1,28636.0,32.6,18336.0,24.4,35036.0,32.3
Scania,S 580 A4x2NA,5,19.5,427,16.4,18431.0,25.8,28731.0,32.4,18431.0,24.1,35131.0,31.9
Scania,S 500 A4x2NA,5,19.0,368,12.7,18169.0,24.3,28469.0,30.9,18169.0,22.9,34869.0,30.8
Scania,S 500 A4x2NA,5,19.0,368,12.7,18077.0,23.3,28377.0,29.4,18077.0,22.0,34777.0,29.0
Scania,S 650 A4x2LB,5,19.5,478,16.4,18523.0,25.9,28823.0,32.7,18523.0,24.2,35223.0,32.4
Scania,S 580 A4x2NB,5,21.0,427,16.4,18524.0,25.9,28824.0,32.5,18524.0,24.1,35224.0,32.0
Scania,S 580 A4x2EB,5,19.5,427,16.4,18345.0,25.9,28645.0,32.5,18345.0,24.3,35045.0,32.1
Scania,S 650 A4x2NB,5,19.5,478,16.4,18602.0,26.2,28902.0,32.6,18602.0,24.7,35302.0,32.4
Scania,S 580 A4x2NB,5,19.5,427,16.4,18597.0,25.8,28897.0,32.2,18597.0,24.1,35297.0,31.8
Scania,S 580 A4x2NB,5,19.5,427,16.4,18683.0,25.2,28983.0,31.4,18683.0,23.5,35383.0,30.8
Scania,S 650 A4x2LB,5,19.0,478,16.4,18822.0,26.8,29122.0,33.3,18822.0,25.2,35522.0,33.2
Scania,S 500 A4x2EB,5,19.0,368,12.7,17846.0,23.5,28146.0,29.7,17846.0,22.2,34546.0,29.5
Scania,S 520 A4x2NA,5,19.5,382,16.4,18542.0,25.6,28842.0,31.8,18542.0,24.0,35242.0,31.4
Scania,S 500 A4x2NB,5,19.0,368,12.7,18284.0,24.5,28584.0,31.1,18284.0,23.1,34984.0,31.0
Scania,S 450 A4x2NA,5,19.0,331,12.7,17715.0,23.7,28015.0,29.8,17715.0,22.4,34415.0,29.7
Scania,S 450 A4x2NB,5,19.0,331,12.7,18367.0,24.0,28667.0,30.4,18367.0,22.7,35067.0,30.2
Scania,S 500 A4x2NB,5,19.0,368,12.7,18160.0,24.3,28460.0,30.7,18160.0,23.0,34860.0,30.6
Scania,S 450 A4x2EB,5,19.0,331,12.7,18051.0,24.1,28351.0,30.5,18051.0,22.8,34751.0,30.4
Scania,S 580 A4x2NA,5,19.5,427,16.4,18321.0,25.8,28621.0,32.1,18321.0,24.2,35021.0,31.6
Scania,S 500 A4x2NB,5,19.5,368,12.7,17813.0,23.6,28113.0,29.9,17813.0,22.3,34513.0,29.7
Scania,S 500 A4x2NB,5,20.5,368,12.7,17915.0,24.3,28215.0,30.8,17915.0,22.9,34615.0,30.7
Scania,S 580 A4x2EB,5,21.0,427,16.4,18311.0,26.1,28611.0,32.8,18311.0,24.5,35011.0,32.5
Scania,S 580 A4x2NB,5,19.5,427,16.4,18512.0,26.7,28812.0,33.2,18512.0,25.2,35212.0,33.1
Scania,R 650 A4x2NB,5,19.5,478,16.4,18825.0,26.8,29125.0,33.4,18825.0,25.2,35525.0,33.3
Scania,S 500 A4x2NB,5,19.0,368,12.7,17818.0,23.9,28118.0,30.4,17818.0,22.6,34518.0,30.2
Scania,S 500 A4x2NB,5,19.0,368,12.7,18166.0,24.1,28466.0,30.5,18166.0,22.7,34866.0,30.3
Scania,S 500 A4x2NA,5,19.0,368,12.7,18169.0,24.3,28469.0,30.9,18169.0,22.9,34869.0,30.8
Scania,S 500 A4x2NB,5,19.0,368,12.7,18040.0,24.3,28340.0,30.8,18040.0,23.0,34740.0,30.6
Scania,S 500 A4x2NA,5,19.0,368,12.7,18169.0,24.3,28469.0,30.9,18169.0,22.9,34869.0,30.8
Scania,S 500 A4x2NB,5,19.0,368,12.7,18166.0,24.1,28466.0,30.5,18166.0,22.7,34866.0,30.3
Scania,S 500 A4x2NA,5,19.0,368,12.7,18169.0,24.3,28469.0,30.9,18169.0,22.9,34869.0,30.8
Scania,S 450 A4x2NA,5,19.0,331,12.7,17822.0,23.7,28122.0,30.0,17822.0,22.4,34522.0,29.8
Scania,S 500 A4x2EB,5,19.5,368,12.7,18043.0,24.7,28343.0,31.3,18043.0,23.4,34743.0,31.3
Scania,S 650 A4x2LB,5,19.5,478,16.4,18552.0,25.2,28852.0,31.3,18552.0,23.5,35252.0,30.8
Scania,S 450 A4x2NA,5,19.0,331,12.7,17822.0,23.7,28122.0,30.0,17822.0,22.4,34522.0,29.8
Scania,S 450 A4x2NA,5,19.0,331,12.7,17822.0,23.7,28122.0,30.0,17822.0,22.4,34522.0,29.8
Scania,S 450 A4x2EB,5,19.0,331,12.7,18127.0,23.9,28427.0,30.2,18127.0,22.6,34827.0,30.0
Scania,S 450 A4x2NA,5,19.0,331,12.7,17822.0,23.7,28122.0,30.0,17822.0,22.4,34522.0,29.8
Scania,S 500 A4x2NA,5,19.0,368,12.7,18245.0,23.3,28545.0,29.5,18245.0,21.9,34945.0,29.0
Scania,S 580 A4x2NB,5,19.5,427,16.4,18356.0,26.5,28656.0,33.2,18356.0,24.8,35056.0,33.0
Scania,S 450 A4x2NA,5,19.0,331,12.7,18016.0,23.9,28316.0,30.2,18016.0,22.6,34716.0,30.0
Scania,S 500 A4x2NB,5,19.0,368,12.7,18385.0,24.5,28685.0,31.0,18385.0,23.0,35085.0,30.9
Scania,S 500 A4x2NB,5,19.0,368,12.7,17949.0,24.2,28249.0,30.8,17949.0,22.8,34649.0,30.7
Scania,S 450 A4x2EB,5,19.0,331,12.7,18178.0,24.4,28478.0,30.9,18178.0,23.1,34878.0,30.8
Scania,S 500 A4x2NB,5,19.0,368,12.7,18210.0,24.2,28510.0,30.7,18210.0,22.7,34910.0,30.3
Scania,S 500 A4x2NB,5,20.5,368,12.7,17780.0,24.1,28080.0,30.6,17780.0,22.8,34480.0,30.6
Scania,R 650 A4x2NB,5,20.5,478,16.4,18377.0,26.3,28677.0,32.7,18377.0,24.7,35077.0,32.5
Scania,S 650 A4x2NB,5,19.5,478,16.4,18512.0,26.1,28812.0,32.5,18512.0,24.5,35212.0,32.2
Scania,S 580 A4x2NB,5,19.5,427,16.4,18592.0,25.7,28892.0,31.9,18592.0,24.1,35292.0,31.4
Scania,S 580 A4x2NA,5,19.0,427,16.4,18418.0,25.9,28718.0,32.5,18418.0,24.3,35118.0,32.1
Scania,S 500 A4x2NA,5,19.0,368,12.7,18151.0,24.5,28451.0,31.1,18151.0,23.1,34851.0,31.0
Scania,S 500 A4x2NA,5,19.0,368,12.7,18151.0,24.5,28451.0,31.1,18151.0,23.1,34851.0,31.0
Scania,S 520 A4x2NB,5,19.5,382,16.4,18572.0,25.8,28872.0,32.0,18572.0,24.2,35272.0,31.7
Scania,S 520 A4x2NA,5,19.5,382,16.4,18481.0,25.4,28781.0,31.5,18481.0,23.9,35181.0,31.1
Scania,S 520 A4x2LB,5,19.5,382,16.4,18591.0,26.1,28891.0,32.4,18591.0,24.5,35291.0,32.1
Scania,S 650 A4x2NA,5,19.5,478,16.4,18248.0,26.3,28548.0,32.8,18248.0,24.7,34948.0,32.7
Scania,S 580 A4x2NA,5,19.5,427,16.4,18561.0,26.1,28861.0,32.5,18561.0,24.5,35261.0,32.2
Scania,G 450 A4x2NA,5,19.0,331,12.7,17671.0,23.9,27971.0,30.3,17671.0,22.6,34371.0,30.2
Scania,G 450 A4x2NA,5,19.0,331,12.7,17603.0,24.3,27903.0,30.8,17603.0,23.1,34303.0,30.8
Scania,R 500 A4x2NB,5,19.5,368,12.7,17972.0,24.4,28272.0,30.9,17972.0,23.0,34672.0,30.8
Scania,R 500 A4x2NB,5,19.0,368,12.7,17910.0,24.4,28210.0,31.0,17910.0,23.0,34610.0,30.9
Scania,R 500 A4x2NA,5,19.0,368,12.7,18037.0,24.4,28337.0,31.0,18037.0,23.0,34737.0,30.9
Scania,R 450 A4x2NA,5,20.5,331,12.7,17986.0,24.4,28286.0,30.9,17986.0,23.1,34686.0,30.8
Scania,R 450 A4x2NA,5,19.0,331,12.7,17508.0,22.9,27808.0,28.9,17508.0,21.6,34208.0,28.5
Scania,R 500 A4x2NA,5,19.0,368,12.7,17848.0,24.2,28148.0,30.8,17848.0,22.9,34548.0,30.8
Scania,R 450 A4x2NA,5,18.6,331,12.7,18019.0,23.9,28319.0,30.2,18019.0,22.5,34719.0,29.9
Scania,R 450 A4x2NA,5,18.6,331,12.7,18019.0,23.9,28319.0,30.2,18019.0,22.5,34719.0,29.9
Scania,R 450 A4x2NA,5,19.0,331,12.7,17508.0,22.9,27808.0,28.9,17508.0,21.6,34208.0,28.5
Scania,S 450 A4x2EB,5,19.0,331,12.7,17973.0,23.9,28273.0,30.1,17973.0,22.6,34673.0,30.0
Scania,S 450 A4x2EB,5,19.0,331,12.7,17973.0,23.9,28273.0,30.1,17973.0,22.6,34673.0,30.0
Scania,S 500 A4x2NB,5,19.0,368,12.7,18243.0,24.5,28543.0,31.1,18243.0,23.0,34943.0,30.9
Scania,S 450 A4x2NA,5,19.0,331,12.7,18254.0,24.1,28554.0,30.5,18254.0,22.7,34954.0,30.3
Scania,S 500 A4x2NA,5,19.0,368,12.7,18195.0,24.3,28495.0,30.8,18195.0,22.9,34895.0,30.7
Scania,S 450 A4x2NB,5,19.0,331,12.7,18153.0,23.8,28453.0,30.1,18153.0,22.4,34853.0,29.8
Scania,S 500 A4x2NA,5,19.0,368,12.7,18124.0,24.5,28424.0,31.1,18124.0,23.1,34824.0,31.0
Scania,S 500 A4x2NA,5,19.0,368,12.7,18187.0,24.1,28487.0,30.6,18187.0,22.7,34887.0,30.4
Scania,S 500 A4x2NA,5,19.0,368,12.7,18187.0,24.1,28487.0,30.6,18187.0,22.7,34887.0,30.4
Scania,S 500 A4x2NA,5,19.0,368,12.7,18187.0,24.1,28487.0,30.6,18187.0,22.7,34887.0,30.4
Scania,S 500 A4x2NA,5,19.0,368,12.7,18187.0,24.1,28487.0,30.6,18187.0,22.7,34887.0,30.4
Scania,S 500 A4x2NA,5,19.0,368,12.7,18187.0,24.1,28487.0,30.6,18187.0,22.7,34887.0,30.4
Scania,S 580 A4x2NB,5,19.0,427,16.4,18389.0,25.8,28689.0,32.0,18389.0,24.2,35089.0,31.6
Scania,S 500 A4x2NB,5,19.0,368,12.7,18155.0,24.0,28455.0,30.5,18155.0,22.6,34855.0,30.2
Scania,S 650 A4x2NB,5,21.0,478,16.4,18816.0,27.2,29116.0,33.8,18816.0,25.5,35516.0,33.7
Scania,S 540 A4x2NB,5,19.0,397,12.7,18372.0,23.9,28672.0,30.2,18372.0,22.5,35072.0,29.9
Scania,S 500 A4x2LB,5,19.5,368,12.7,18340.0,24.4,28640.0,31.0,18340.0,23.1,35040.0,30.8
Scania,R 500 A4x2NA,5,19.0,368,12.7,17963.0,24.4,28263.0,31.0,17963.0,23.0,34663.0,30.9
Scania,R 520 A4x2NB,5,19.5,382,16.4,18221.0,25.9,28521.0,32.3,18221.0,24.5,34921.0,32.1
Scania,R 450 A4x2NA,5,19.0,331,12.7,18002.0,23.6,28302.0,29.8,18002.0,22.3,34702.0,29.6
Scania,R 500 A4x2NA,5,19.0,368,12.7,17986.0,24.4,28286.0,30.9,17986.0,23.0,34686.0,30.8
Scania,R 500 A4x2NA,5,19.0,368,12.7,17447.0,24.1,27747.0,30.7,17447.0,22.8,34147.0,30.7
Scania,R 450 A4x2NA,5,19.0,331,12.7,17809.0,24.0,28109.0,30.3,17809.0,22.6,34509.0,30.2
Scania,R 450 A4x2NA,5,19.0,331,12.7,17508.0,22.9,27808.0,28.9,17508.0,21.6,34208.0,28.5
Scania,R 450 A4x2NA,5,18.6,331,12.7,17846.0,23.6,28146.0,29.8,17846.0,22.3,34546.0,29.5
Scania,R 580 A4x2NB,5,19.5,427,16.4,18524.0,26.3,28824.0,32.9,18524.0,24.7,35224.0,32.5
Scania,R 580 A4x2NB,5,19.5,427,16.4,18429.0,26.1,28729.0,32.7,18429.0,24.4,35129.0,32.4
Scania,R 450 A4x2NA,5,19.0,331,12.7,17508.0,22.9,27808.0,28.9,17508.0,21.6,34208.0,28.5
Scania,R 500 A4x2NA,5,19.0,368,12.7,17774.0,23.7,28074.0,30.1,17774.0,22.4,34474.0,29.8
Scania,R 500 A4x2NA,5,19.0,368,12.7,17848.0,24.2,28148.0,30.8,17848.0,22.9,34548.0,30.8
Scania,R 450 A4x2NA,5,19.0,331,12.7,17508.0,22.9,27808.0,28.9,17508.0,21.6,34208.0,28.5
Scania,R 450 A4x2NA,5,19.0,331,12.7,17508.0,22.9,27808.0,28.9,17508.0,21.6,34208.0,28.5
Scania,R 450 A4x2NA,5,18.6,331,12.7,17868.0,23.6,28168.0,29.8,17868.0,22.3,34568.0,29.5
Scania,R 450 A4x2NA,5,19.0,331,12.7,17508.0,22.9,27808.0,28.9,17508.0,21.6,34208.0,28.5
Scania,R 450 A4x2NA,5,19.0,331,12.7,17508.0,22.9,27808.0,28.9,17508.0,21.6,34208.0,28.5
Scania,R 450 A4x2NA,5,19.0,331,12.7,17508.0,22.9,27808.0,28.9,17508.0,21.6,34208.0,28.5
Scania,R 500 A4x2NA,5,19.0,368,12.7,18122.0,23.9,28422.0,30.4,18122.0,22.5,34822.0,30.1
Scania,R 450 A4x2NA,5,19.0,331,12.7,17508.0,22.9,27808.0,28.9,17508.0,21.6,34208.0,28.5
Scania,R 450 A4x2NA,5,18.6,331,12.7,17862.0,23.6,28162.0,29.8,17862.0,22.3,34562.0,29.5
Scania,R 450 A4x2NA,5,19.0,331,12.7,17803.0,23.8,28103.0,30.2,17803.0,22.5,34503.0,30.0
Scania,R 500 A4x2NB,5,19.0,368,12.7,18354.0,23.4,28654.0,29.5,18354.0,22.0,35054.0,29.1
Scania,R 500 A4x2NB,5,19.0,368,12.7,18354.0,23.4,28654.0,29.5,18354.0,22.0,35054.0,29.1
Scania,R 500 A4x2NA,5,19.0,368,12.7,17790.0,23.7,28090.0,30.1,17790.0,22.4,34490.0,29.8
Scania,R 500 A4x2NB,5,19.0,368,12.7,18354.0,23.4,28654.0,29.5,18354.0,22.0,35054.0,29.1
Scania,R 500 A4x2EB,5,19.0,368,12.7,18054.0,23.8,28354.0,30.1,18054.0,22.5,34754.0,29.9
