OEM_Make,OEM_Model,OEM_VehicleGroup,OEM_GrossVehicleMass_t,Engine_RatedPower_kw,Engine_Displacement_ltr,RDL_TotalVehicleMass_kg,RDL_FuelConsumption_l100km,RDR_TotalVehicleMass_kg,RDR_FuelConsumption_l100km,LHL_TotalVehicleMass_kg,LHL_FuelConsumption_l100km,LHR_TotalVehicleMass_kg,LHR_FuelConsumption_l100km
Scania,R 450 A4x2NA,5,20.5,331,12.7,18161.0,24.2,28461.0,30.8,18161.0,22.8,34861.0,30.7
Scania,R 450 A4x2NA,5,20.5,331,12.7,18143.0,24.2,28443.0,30.8,18143.0,22.8,34843.0,30.7
Scania,R 450 A4x2NB,5,20.1,331,12.7,18063.0,24.4,28363.0,30.9,18063.0,23.1,34763.0,30.8
Scania,R 500 A4x2NB,5,21.0,368,12.7,18214.0,24.3,28514.0,30.8,18214.0,22.8,34914.0,30.6
Scania,R 500 A4x2NB,5,21.0,368,12.7,17561.0,24.5,27861.0,31.1,17561.0,23.2,34261.0,31.2
Scania,R 500 A4x2NB,5,21.0,368,12.7,17561.0,24.5,27861.0,31.1,17561.0,23.2,34261.0,31.2
Scania,R 500 A4x2NB,5,20.1,368,12.7,18072.0,24.5,28372.0,31.1,18072.0,23.2,34772.0,31.0
Scania,R 450 A4x2NB,5,20.5,331,12.7,17858.0,23.7,28158.0,30.2,17858.0,22.4,34558.0,30.0
Scania,R 500 A4x2NB,5,20.1,368,12.7,18431.0,24.5,28731.0,31.1,18431.0,23.1,35131.0,31.0
Scania,R 450 A4x2NA,5,21.0,331,12.7,17646.0,23.8,27946.0,30.2,17646.0,22.5,34346.0,30.1
Mercedes Benz,Actros,5,19.0,375,12.8,17638.0,25.3,27938.0,31.6,17638.0,24.4,34338.0,32.2
Mercedes Benz,Actros,5,19.0,375,12.8,17638.0,25.3,27938.0,31.6,17638.0,24.4,34338.0,32.2
Mercedes Benz,Actros,5,19.0,375,12.8,17638.0,25.3,27938.0,31.6,17638.0,24.4,34338.0,32.2
Mercedes Benz,Actros,5,19.0,390,12.8,17999.0,25.2,28299.0,31.5,17999.0,24.1,34699.0,31.7
