廠牌,車型/車款名,車型/車款,引擎,排氣量[L],最大扭力[N-m],最大馬力[kW],排檔型式_日,空重[kg],總重[kg],最大積載量[kg],自動車構造,能效[km/L],軸組型態_日,車輛種類,模擬車重[噸],總重[噸],乘車定員[人]
FUSO,ふそう,2PG-FU70GY,6S10,7.697,1400,260,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU70GY,6S10,7.697,1400,280,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2KG-FU70HY,6R20,10.676,2000,290,7MT,8765,24405,15530.0,トラック等,4.15,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU70HY,6R20,10.676,2000,265,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU70HY,6R20,10.676,2000,290,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU74GY,6S10,7.697,1400,260,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU74GY,6S10,7.697,1400,280,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU74HY,6R20,10.676,2000,265,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU74HY,6R20,10.676,2000,290,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU74GZ,6S10,7.697,1400,260,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU74GZ,6S10,7.697,1400,280,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2KG-FU74HZ,6R20,10.676,2000,290,7MT,8765,24405,15530.0,トラック等,4.15,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU74HZ,6R20,10.676,2000,265,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU74HZ,6R20,10.676,2000,290,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU74HZ,6R20,10.676,2100,315,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU75GZ,6S10,7.697,1400,260,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU75GZ,6S10,7.697,1400,280,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU75HZ,6R20,10.676,2000,265,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU75HZ,6R20,10.676,2000,290,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2PG-FU75HZ,6R20,10.676,2100,315,6MT×2,8765,24405,15530.0,トラック等,4.25,2-4Ｄ・4,大貨車,16.585,24.405,
FUSO,ふそう,2KG-FV70GX,6S10,7.697,1400,260,6MT×2,8688,19887,11089.0,トラック等,4.25,2-4Ｄ・4D,大貨車,14.2875,19.887,
