車輛種類,廠牌,總重[噸],車輛型式,引擎型式,總排氣量[L],最大扭力[N-m],最大馬力[kW],模擬車重[噸],能效[km/L]
大貨車,ISUZU(五十鈴),4.661,2SG-NJR88AM,4JZ1-HE11,2.999,375,110,3.451,14.49
大貨車,ISUZU(五十鈴),4.661,2SG-NKR88AM,4JZ1-HE11,2.999,375,110,3.451,14.49
大貨車,ISUZU(五十鈴),4.661,2SG-NLR88AM,4JZ1-HE11,2.999,375,110,3.451,14.49
大貨車,ISUZU(五十鈴),4.661,2SG-NMR88AM,4JZ1-HE11,2.999,375,110,3.451,14.49
大貨車,ISUZU(五十鈴),4.661,2SG-NMR88M,4JZ1-HE11,2.999,375,110,3.451,14.49
大貨車,ISUZU(五十鈴),4.661,2SG-NPR88AM,4JZ1-HE11,2.999,375,110,3.451,14.49
大貨車,ISUZU(五十鈴),4.661,2TG-NJR88AF,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NJR88AM,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NJR88AF,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NJR88AM,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NKR88AC,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NKR88AF,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NKR88AM,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NKR88C,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NLR88AC,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NLR88AM,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NMR88AC,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NMR88AM,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NMR88C,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NMR88M,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NNR88AC,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NNR88AM,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NPR88AC,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2TG-NPR88AM,4JZ1,2.999,375,110,3.451,13.73
大貨車,ISUZU(五十鈴),4.661,2SG-NJR88AN,4JZ1-HE11,2.999,375,110,3.451,13.33
大貨車,ISUZU(五十鈴),4.661,2SG-NKR88AN,4JZ1-HE11,2.999,375,110,3.451,13.33
大貨車,ISUZU(五十鈴),4.661,2SG-NLR88AN,4JZ1-HE11,2.999,375,110,3.451,13.33
大貨車,ISUZU(五十鈴),4.661,2SG-NMR88AN,4JZ1-HE11,2.999,375,110,3.451,13.33
大貨車,ISUZU(五十鈴),4.661,2SG-NMR88N,4JZ1-HE11,2.999,375,110,3.451,13.33
大貨車,ISUZU(五十鈴),4.661,2SG-NPR88AN,4JZ1-HE11,2.999,375,110,3.451,13.33
大貨車,ISUZU(五十鈴),4.661,2RG-NJR88AF,4JZ1,2.999,375,110,3.451,13.27
大貨車,ISUZU(五十鈴),4.661,2RG-NJR88AM,4JZ1,2.999,375,110,3.451,13.27
大貨車,ISUZU(五十鈴),4.661,2RG-NJR88AF,4JZ1,2.999,375,110,3.451,13.27
大貨車,ISUZU(五十鈴),4.661,2RG-NJR88AM,4JZ1,2.999,375,110,3.451,13.27
大貨車,ISUZU(五十鈴),4.661,2RG-NLR88AC,4JZ1,2.999,375,110,3.451,13.27
